"wbcode","country","gdp50","gdp90","gdp95","lnd100km","pop100km","lnd100cr","pop100cr","dens65c","dens65i","dens95c","dens95i","landlock","landlneu","airdist","tropicar","troppop","malfal66","malfal94","lhcpc","south","landarea","open6590","newstate","socialst","lifex65","urbpop95","wardum","pop95","zpolar","zboreal","zdestmp","zdestrp","zdrytemp","zwettemp","zsubtrop","ztropics","zwater","eu","safri","sasia","transit","latam","eseasia","region"
"AGO","Angola",986,654,2055.188,0.1187576,0.2655837,14,30,9.291969,3.462699,19.32299,7.20081,0,0,6830,1,0.7491,1,1,5.73235,1,1246700,0,2,1,36,31,1,10.772,0,0,0.0221579,0.0321074,0,0,0.891729,0.0501317,0.003874,0,1,0,0,0,0,"Sub-Saharan Africa"
"ARG","Argentina",4987,6581,9287.212,0.1230889,0.188942,20,30,12.4985,7.530861,19.44353,11.71553,0,0,8570,0.0268,0,0,0,4.518682,1,2736690,0,0,0,65.8,88.1,0,34.665,0.0125004,0.0843879,0.2308541,0.0008983,0.3237756,0.0477848,0.294136,0.0022708,0.0033919,0,0,0,0,1,0,"Latin America & Caribbean"
"AUT","Austria",3731,16792,21269.85,0.0075848,0.0057634,62,71,66.78308,88.04961,73.97482,97.53151,1,0,840,0,0,0,0,2.858482,0,82730,1,1,0,69.9,64.3,0,8.054,0.022852,0.4829857,0,0,0,0.4941623,0,0,0,1,0,0,0,0,0,"Western Europe"
"BDI","Burundi",320,599,656.9504,0,0,0,0,0,125.1168,0,243.9252,1,1,6600,1,1,1,1,-4.60517,1,25680,0,2,0,43.5,7.5,0,6.264,0,0,0,0,0,0,0.9805556,0,0.0194444,0,1,0,0,0,0,"Sub-Saharan Africa"
"BEL","Belgium",5346,16807,21695.38,0.4892515,0.7138057,99,99,420.7111,161.5809,451.0242,173.2231,0,0,190,0,0,0,0,-4.60517,0,32820,1,0,0,70.9,97,0,10.1459,0,0,0,0,0,0.980316,0,0,0.019684,1,0,0,0,0,0,"Western Europe"
"BEN","Benin",1087,1107,1206.574,0.1089616,0.4924399,11,49,99.27784,12.51306,223.6816,28.19301,0,0,5040,1,0.5141,1,1,1.053939,0,110620,0.0384615,2,1,41,38.4,0,5.475,0,0,0,0,0,0,0.0072161,0.9797114,0.0130726,0,1,0,0,0,0,"Sub-Saharan Africa"
"BFA","Burkina Faso",503,616,914.4192,0,0,0,0,0,18.13231,0,37.92763,1,1,4480,1,1,1,1,-4.60517,0,273600,0,2,0,38.9,15.9,0,10.377,0,0,0,0,0,0,0.0119631,0.9880369,0,0,1,0,0,0,0,"Sub-Saharan Africa"
"BGD","Bangladesh",551,698,971.3679,0.4015982,0.3702043,96,98,412.9494,471.4697,848.1637,968.3596,0,0,4900,0.4035,0.05304,0.632,0.158,2.441871,0,130170,0,2,0,43.3,18.3,0,119.768,0,0,0,0,0,0,0.6533487,0.3283631,0.0182882,0,0,1,0,0,0,"South Asia"
"BGR","Bulgaria",1651,5764,4814.791,0.2736453,0.2475486,64,57,67.10896,76.84892,68.81104,78.79803,0,0,1750,0,0,0,0,0.2432165,0,110550,0,0,1,70.8,68.3,0,8.409,0,0,0,0,0.5416256,0.4515599,0,0,0.0068145,0,0,0,1,0,0,"Former Soviet Union & Eastern Europe"
"BOL","Bolivia",1884,1744,2912.866,0,0,2,1,0,3.456353,0,6.837087,1,1,6500,1,1,0.01089,0.00528,4.301883,1,1084380,0.7692308,0,0,45.1,60.5,0,7.414,0.0097113,0.0205497,0.0808333,0.0027096,0.09514,0.027172,0.5579533,0.2040449,0.0018859,0,0,0,0,1,0,"Latin America & Caribbean"
"BRA","Brazil",1673,4812,5986.063,0.0925157,0.3412646,21,37,36.76809,7.235476,69.45248,13.66733,0,0,7700,0.9308,0.3378,0.4005,0.1935,2.844228,1,8456510,0,0,0,57.9,78.3,0,159.222,0,0,0,0,0.0024742,0.0464593,0.6123819,0.3340699,0.0046147,0,0,0,0,1,0,"Latin America & Caribbean"
"BWA","Botswana",390,4215,7695.21,0,0,0,0,0,0.9687153,0,2.558538,1,1,8760,0.7025,0.5,0.76,0.39,-4.60517,1,566730,0.4230769,2,0,50.1,60,0,1.45,0,0,0,0.0334254,0,0,0.9582083,0.0083662,0,0,1,0,0,0,0,"Sub-Saharan Africa"
"CAF","Central African Republic",729,644,1520.734,0,0,0,0,0,2.6919,0,5.256991,1,1,5450,1,1,1,1,-4.60517,0,622980,0,2,0,41.5,39.1,0,3.275,0,0,0,0,0,0,0.5567291,0.4432708,0,0,1,0,0,0,0,"Sub-Saharan Africa"
"CHE","Switzerland",8939,21661,24859.92,0,0,33,46,0,148.091,0,177.9772,1,0,600,0,0,0,0,-4.60517,0,39550,1,0,0,72.2,61,0,7.039,0.2667899,0.2596016,0,0,0,0.4736086,0,0,0,1,0,0,0,0,0,"Western Europe"
"CHL","Chile",3827,6380,11162.28,0.6601816,0.5267299,68,53,9.127183,15.93215,15.15692,26.45749,0,0,8290,0.1625,0.054,0,0,3.702573,1,748800,0.5769231,0,0,60.6,83.9,0,14.225,0.0648624,0.2695001,0.315967,0.0011626,0.1053998,0.2078543,0,0,0.0352538,0,0,0,0,1,0,"Latin America & Caribbean"
"CHN","China",614,2700,3071.84,0.0517116,0.1906961,12,45,282.7856,65.44478,474.5777,109.8311,0,0,2100,0.0313,0.07848,0.04784,0.00552,2.78447,0,9326410,0,0,1,59.6,30.2,0,1200.241,0.1030804,0.1844069,0.1523736,0,0.2104926,0.2682833,0.0778205,0.0004092,0.0031337,0,0,0,0,0,1,"East and Southeast Asia"
"CIV","Cote d'Ivoire",859,1224,1655.357,0.1710561,0.3720007,18,38,30.95911,10.78493,95.59233,33.30059,0,0,5260,1,0.6466,1,1,1.765516,0,318000,0,2,0,42.9,43.4,0,13.978,0,0,0,0,0,0,0.2131651,0.7828937,0.0039412,0,1,0,0,0,0,"Sub-Saharan Africa"
"CMR","Cameroon",803,1447,1812.026,0.0982402,0.1522673,13,18,19.58585,11.87936,44.25383,26.84116,0,0,5470,1,0.8641,1,1,3.888269,0,465400,0,2,0,43,44.7,0,13.288,0,0,0,0,0,0,0.7493612,0.2409442,0.0096947,0,1,0,0,0,0,"Sub-Saharan Africa"
"COG","Congo",1330,2631,1642,0.0478931,0.1825344,5,18,12.39925,2.793233,29.38544,6.619785,0,0,6330,1,0.862,1,1,5.679245,1,341500,0,2,1,44.7,58.4,0,2.633,0,0,0,0,0,0,0.9682262,0.0275564,0.0042174,0,1,0,0,0,0,"Sub-Saharan Africa"
"COL","Colombia",2089,4917,6915.338,0.1597219,0.2720111,28,28,30.34203,15.43562,60.35779,30.70526,0,0,4030,1,0.7533,0.26418,0.2499,4.298068,0,1038700,0.1923077,0,0,60.1,72.6,0,36.813,0,0,0,0.0296947,0.0107981,0.0710838,0.3139652,0.5668132,0.007645,0,0,0,0,1,0,"Latin America & Caribbean"
"CRI","Costa Rica",1968,3923,6617.773,1,1,100,100,29.02468,0,66.56874,0,0,0,3575,1,1e-04,0.00088,0,-4.60517,0,51060,0.1538462,0,0,65.6,49.3,0,3.399,0,0,0,0,0,0.0588374,0.6307366,0.2598258,0.0506001,0,0,0,0,1,0,"Latin America & Caribbean"
"DEU","Germany",4281,18685,20384.29,0.1860774,0.1030959,94,95,120.6083,239.8791,129.8691,258.2981,0,0,240,0,0,0,0,2.870741,0,349270,1,0,0,70.8,86.5,0,81.869,0,0.0227174,0,0,0.038153,0.9292971,0,0,0.0098326,1,0,0,0,0,0,"Western Europe"
"DNK","Denmark",6683,17953,22051.1,1,1,100,100,112.1376,0,123.0262,0,0,0,765,0,0,0,0,5.172658,0,42430,1,0,0,72.9,85.2,0,5.22,0,0,0,0,0.0202692,0.8895735,0,0,0.0901573,1,0,0,0,0,0,"Western Europe"
"DOM","Dominican Republic",1212,2342,4244.16,1,1,100,100,78.66887,0,161.6784,0,0,0,2420,1,0,0.938,0,-4.60517,0,48380,0,0,0,57,61.9,0,7.822,0,0,0,0,0,0,0.9009423,0,0.0990577,0,0,0,0,1,0,"Latin America & Caribbean"
"ECU","Ecuador",1329,3037,4969.672,0.3684109,0.600886,38,60,30.30622,11.7418,67.61751,26.19762,0,0,4580,1,0.4694,0.2135,0.13725,4.906961,1,276840,0.6923077,0,0,56.8,58.9,0,11.477,0,0.0240466,0,0,0.0333766,0.1643341,0.3397297,0.3890733,0.0494397,0,0,0,0,1,0,"Latin America & Caribbean"
"ESP","Spain",2397,12170,15030.99,0.4102564,0.6325665,46,67,98.96389,39.98909,121.0159,48.89982,0,0,1420,0,0,0,0,0.6753976,0,499440,1,0,0,71.6,76.5,0,39.199,0,0.0072541,0.0157949,0,0.6291096,0.2536876,0.0675991,0,0.0265548,1,0,0,0,0,0,"Western Europe"
"ETH","Ethiopia",277,350,465.1852,0.021018,0.0150231,2,1,18.25667,25.69841,40.31593,56.7494,1,1,5740,1,0.9492,0.85,0.75,0.4469641,0,1e+06,0,0,1,38.9,15.4,1,56.404,0,0,0,0.0152651,0.0323185,0.0807963,0.6086657,0.2629544,0,0,1,0,0,0,0,"Sub-Saharan Africa"
"FIN","Finland",4131,16604,18086.44,0.2833278,0.6355669,29,63,33.61261,7.619513,37.63375,8.53105,0,0,1640,0,0,0,0,-4.60517,0,304590,1,1,0,69.6,63.2,0,5.11,0,0.9105653,0,0,0,0.0752959,0,0,0.0141387,1,0,0,0,0,0,"Western Europe"
"FRA","France",5221,17777,21168.16,0.329235,0.3294838,85,90,88.70178,88.60191,105.6242,105.5053,0,0,440,0,0,0,0,1.293263,0,550100,1,0,0,71.5,74.7,0,58.06,0.0034463,0.0339512,0,0,0.087975,0.8562934,0,0,0.018334,1,0,0,0,0,0,"Western Europe"
"GAB","Gabon",1207,2859,7428.114,0.2617914,0.4685947,27,47,3.438613,1.382892,7.481588,3.008837,0,0,5790,1,0.6198,1,1,6.657253,1,257670,0,2,0,43,50.1,0,1.077,0,0,0,0,0,0,0.8223071,0.1669023,0.0107907,0,1,0,0,0,0,"Sub-Saharan Africa"
"GBR","United Kingdom",6847,16302,19321.28,0.9234359,0.8172235,100,100,199.0842,537.0287,214.4065,578.3607,0,0,320,0,0,0,0,4.373679,0,241600,1,0,0,71.4,89.2,0,58.533,0,0.0726408,0,0,0.0138208,0.8344776,0,0,0.0790608,1,0,0,0,0,0,"Western Europe"
"GHA","Ghana",1193,966,1767.099,0.1929914,0.4331179,19,43,77.20781,24.16616,168.4113,52.71298,0,0,5190,1,0.5747,1,1,1.633371,0,227540,0.2307692,2,0,48,35.9,0,17.075,0,0,0,0,0,0,0.0621137,0.9240435,0.0138428,0,1,0,0,0,0,"Sub-Saharan Africa"
"GIN","Guinea",260,448,1734.097,0.1406412,0.2669071,17,30,26.93913,12.10934,50.90476,22.88207,0,0,4920,1,0.7507,1,1,-4.60517,0,245720,0.1923077,2,0,35.8,29.2,0,6.591,0,0,0,0,0,0,0.5464829,0.4524797,0.0010373,0,1,0,0,0,0,"Sub-Saharan Africa"
"GMB","Gambia",459,862,1272.538,0.3997696,0.6240239,100,100,63.06274,25.30601,173.7347,69.7168,0,0,4660,1,0.3605,1,1,-4.60517,0,10000,0.1923077,2,0,35,29,0,1.113,0,0,0,0,0,0,0.3440737,0.6478711,0.0080552,0,1,0,0,0,0,"Sub-Saharan Africa"
"GNB","Guinea Bissau",280,782,1006.782,0.6870649,0.812076,100,100,22.02495,11.19035,44.97461,22.85053,0,0,4780,1,0.2316,1,1,-4.60517,0,28120,0.1538462,2,0,35.5,21.7,0,1.07,0,0,0,0,0,0,0.3968486,0.5064126,0.0967387,0,1,0,0,0,0,"Sub-Saharan Africa"
"GRC","Greece",1951,10051,12056.85,0.9299707,0.9682414,93,97,69.06823,30.08471,84.54417,36.82572,0,0,2130,0,0,0,0,1.598076,0,128900,1,0,0,71,59.2,0,10.467,0,0,0,0,0.5380848,0.2761696,0.0390351,0,0.1467105,1,0,0,0,0,0,"Western Europe"
"GTM","Guatemala",1677,2461,3518.28,0.4254581,0.7327794,42,73,72.5593,19.59408,168.7104,45.55894,0,0,3300,1,0.3144,0.0204,0.012,3.274858,0,108430,0.1153846,0,0,50.1,38.9,1,10.62123,0,0,0,0,0.0542182,0.1084363,0.7055953,0.1227499,0.0090002,0,0,0,0,1,0,"Latin America & Caribbean"
"HKG","Hong Kong",1962,17120,23490,1,1,100,100,3729.293,0,6252.323,0,0,0,2940,1,0,0.046,0,-4.60517,0,990,1,0,0,70,95,0,6.1898,0,0,0,0,0,0,0.1014493,0,0.8985507,0,0,0,0,0,1,"East and Southeast Asia"
"HND","Honduras",1036,1510,2119.986,0.6686022,0.706368,67,71,21.19768,17.77783,55.93543,46.9113,0,0,3220,1,0.3687,0.00324,0.0108,-4.60517,0,111890,0,0,0,51,43.8,0,5.924,0,0,0,0,0,0,0.8599936,0.1319818,0.0080245,0,0,0,0,1,0,"Latin America & Caribbean"
"HTI","Haiti",984,1037,1128.841,1,1,100,100,150.3266,0,260.0871,0,0,0,2500,1,0,1,1,-4.60517,0,27560,0,0,0,46.3,31.8,0,7.168,0,0,0,0,0,0,0.7067702,0.2065545,0.0866753,0,0,0,0,1,0,"Latin America & Caribbean"
"HUN","Hungary",2480,6348,6761.408,0,0,90,93,0,109.8982,0,110.7754,1,0,1160,0,0,0,0,3.721241,0,92340,0.0384615,0,1,69.2,64.6,0,10.229,0,0,0,0,0.3588885,0.6411115,0,0,0,0,0,0,1,0,0,"Former Soviet Union & Eastern Europe"
"IDN","Indonesia",874,2525,3229.815,0.7457604,0.9613945,75,96,76.17235,8.972233,137.5395,16.20058,0,0,5800,1,0.044,0.41678,0.42594,4.00041,1,1811570,0.8076923,2,0,46,35.4,0,193.277,0,0,0,0,0,0.0242262,0.4360267,0.4465247,0.0932225,0,0,0,0,0,1,"East and Southeast Asia"
"IND","India",597,1316,1514.854,0.1567764,0.2246565,25,38,238.6484,153.134,447.9181,287.4166,0,0,5860,0.5119,0.3929,0.13186,0.28107,1.827014,0,2973190,0,2,0,48,26.8,0,929.358,0.0195116,0.0172687,0.0084944,0.0229782,0,0.0428379,0.4193214,0.4592453,0.0103425,0,0,1,0,0,0,"South Asia"
"IRL","Ireland",3518,11123,17641.69,0.9133892,0.9290125,91,93,42.4618,34.21706,52.94437,42.66425,0,0,800,0,0,0,0,2.718957,0,68890,0.9615384,1,0,71.1,57.5,0,3.586,0,0,0,0,0,0.945519,0,0,0.054481,1,0,0,0,0,0,"Western Europe"
"ITA","Italy",3425,15951,19829.13,0.7774464,0.7455912,86,90,169.9543,202.5813,186.5609,222.3761,0,0,1270,0,0,0,0,3.002363,0,294060,1,0,0,71,66.6,0,57.204,0.0376483,0.061924,0,0,0.3227516,0.4793687,0.0514427,0,0.0468646,1,0,0,0,0,0,"Western Europe"
"JAM","Jamaica",1103,3079,3670.417,1,1,100,100,162.5115,0,232.8809,0,0,0,2560,1,0,0,0,-4.60517,0,10830,0.3846154,2,0,66.3,53.7,0,2.5221,0,0,0,0,0,0,0.6392199,0,0.3607801,0,0,0,0,1,0,"Latin America & Caribbean"
